TEXTO,CARRERA,LABEL
interesar impacto comunicación digital sociedad,COMUNICACIÓN SOCIAL,3
estudiar impacto edad adulto,PSICOLOGÍA,2
querer especializar yo derechos humanos,DERECHO,11
gustar visitar lugar arquitectura interesante,ARQUITECTURA,6
estudiar teoría económico avanzado aplicación práctico diseñar política público impulsar desarrollo sostenible equidad contexto global,ECONOMÍA,5
querer estudiar promover literatura,LETRAS,10
interesado ley aplicar vida cotidiano,DERECHO,11
gustar analizar impacto cultura organizacional motivación desempeño trabajador,RELACIONES INDUSTRIALES,12
querer mejorar comunicación interno,RELACIONES INDUSTRIALES,12
gustar software contabilidad querer prevenir fraude financiero,CONTADURÍA,4
análisis dato sociología digital análisis red social,SOCIOLOGÍA,1
iniciativa fortalecer comunicación interno empleado,RELACIONES INDUSTRIALES,12
querer mejorar tecnología comunicación inalámbrico,TELECOMUNICACIONES,16
querer ayudar empresa rentable,CONTADURÍA,4
gustar analizar cuestión ético moral,FILOSOFÍA,13
investigar restauración edificio histórico mantener valor cultural,ARQUITECTURA,6
interesado arquitectura sostenible respetuoso ambiente,ARQUITECTURA,6
interesar sociología tecnología,SOCIOLOGÍA,1
querer especializar yo contabilidad internacional interesar impuesto norma contable,CONTADURÍA,4
interesar impacto telecomunicación desarrollo social,TELECOMUNICACIONES,16
interesar psicología educativo,PSICOLOGÍA,2
gustar participar actividad ecuménico,TEOLOGÍA,8
interesado investigar migración efecto,SOCIOLOGÍA,1
número gustar mantener orden,CONTADURÍA,4
gustar escribir ensayo idea pensamiento,FILOSOFÍA,13
querer espacio inspirar gente,ARQUITECTURA,6
estudiar técnica procesamiento masivo dato aprendizaje automático extraer información relevante volumen dato,INFORMÁTICA,15
defender ambiente ley,DERECHO,11
gustar contar historia comunicar idea canal youtube interesar periodismo medio digital querer trabajar comunicación estratégico,COMUNICACIÓN SOCIAL,3
analizar tiempo movimiento planta averiguar mejorar producción,INDUSTRIAL,0
gustar organizar evento literario cultural,LETRAS,10
querer encontrar solución práctico problema cotidiano,INDUSTRIAL,0
investigar técnica aprendizaje profundo mejorar reconocimiento patrón,INFORMÁTICA,15
gustar geometría diseño técnico participé concurso maqueta interesar bim  tecnología construcción querer innovar material método constructivo,CIVIL,9
gustar trabajar proyecto relacionado logística planificación,INDUSTRIAL,0
gustar estudiar gráfico dato económico,ECONOMÍA,5
querer mejorar conectar,TELECOMUNICACIONES,16
interesar intersección neurociencia psicología cognitivo mejorar salud mental,PSICOLOGÍA,2
investigar tecnología educativo crear entorno aprendizaje virtual innovador,EDUCACIÓN,14
interesar economía comportamiento decisión individual afectar macroeconomía,ECONOMÍA,5
fascinar economía comportamiento realacer experimento económico interesar neuroeconomía toma decisión querer entender decisión económico,ECONOMÍA,5
gustar analizar sistema encontrar manera mejorarlo,INDUSTRIAL,0
querer ayudar persona encontrar sentido vida,FILOSOFÍA,13
gustar enseñar compartir,EDUCACIÓN,14
gustar especializar yo educación inclusivo,EDUCACIÓN,14
investigar efecto reforma jurídico protección derecho minoría,DERECHO,11
sentir marcar diferencia vida estudiante,EDUCACIÓN,14
apasionar combinar ingeniería diseño urbano espacio público,CIVIL,9
salud mental importante física,PSICOLOGÍA,2
investigar efecto globalización estabilidad desarrollo mercado emergente,ECONOMÍA,5
fascinado teoría literario contemporáneo organizo festival literario interesado literatura digital hipertexto querer explorar forma narrativo,LETRAS,10
gustar trabajar código,INFORMÁTICA,15
gustar entrenamiento desarrollo talento,RELACIONES INDUSTRIALES,12
desarrollo contenido audiovisual tratar informar empoderar comunidad marginado,COMUNICACIÓN SOCIAL,3
economía herramienta reducir pobreza,ECONOMÍA,5
comprender decisión individual afectar mercado estudio economía comportamiento,ECONOMÍA,5
trabajo metodología activo disfruto educación steam,EDUCACIÓN,14
dibujo diseño edificio espacio,ARQUITECTURA,6
tecnología digital utilizar él mejorar diseño infraestructura,CIVIL,9
gustar pensar significado vida,FILOSOFÍA,13
problema social resolver arquitectura,ARQUITECTURA,6
querer crear espacio inspirar persona,ARQUITECTURA,6
ley adaptar él reto,DERECHO,11
interesado derecho digital protección dato,DERECHO,11
interesar educación emocional gestión,EDUCACIÓN,14
querer profundizar estudio escritura mensaje,TEOLOGÍA,8
empático consejero participo grupo apoyo interesado neuropsicología desarrollo infantil querer especializar yo psicología clínico,PSICOLOGÍA,2
disfruto leer obra pensador filósofo,FILOSOFÍA,13
gustar aplicar política promover equidad inclusión,RELACIONES INDUSTRIALES,12
apasionar traducción literario adaptación cultural,LETRAS,10
querer informar objetivamente,COMUNICACIÓN SOCIAL,3
querer enseñar lenguaje literatura,LETRAS,10
estudiar teoría moderno aplicar método colaborativo experiencial aula,EDUCACIÓN,14
religión papel empoderamiento comunidad,TEOLOGÍA,8
gustar diseñar espacio público inclusivo,ARQUITECTURA,6
interesado planificación producción disfrutar gestión inventario,INDUSTRIAL,0
querer motivar gente,PSICOLOGÍA,2
gustar experimentar realidad virtual diseño arquitectura generativo,ARQUITECTURA,6
disfrutar psicología deportivo rendimiento trabajo atleta,PSICOLOGÍA,2
gustar trabajar negociación colectivo,DERECHO,11
apasionar investigar movimiento social dinámica participación ciudadano entorno urbano,SOCIOLOGÍA,1
interesado comunicación satélite aplicación,TELECOMUNICACIONES,16
querer estudio corriente,FILOSOFÍA,13
apasionar arte construcción participo concurso diseño interesar arquitectura paramétrico tecnología querer innovar diseño arquitectónico,ARQUITECTURA,6
análisis tiempo movimiento planta utilizar estudiar producción,INDUSTRIAL,0
buscar manera reducir costo,INDUSTRIAL,0
empleado feliz clave éxito,RELACIONES INDUSTRIALES,12
querer innovar periodismo móvil formato herramienta multimedia,COMUNICACIÓN SOCIAL,3
interesado negociación colectivo relación sindical,RELACIONES INDUSTRIALES,12
querer ayudar superar problema sentir él,PSICOLOGÍA,2
estudiante filosofía participo activamente círculo discusión análisis crítico texto buscar comprender libertad justicia existencia humano,FILOSOFÍA,13
apasionar traducción tratar captar esencia matiz texto idioma,LETRAS,10
apasionar desarrollar contenido curricular integrador utilizar tecnología metodología activo transformar experiencia educativo,EDUCACIÓN,14
disfruto resolver problema hidráulico participo proyecto agua potable comunitario interesar tratamiento agua ambiente querer diseñar sistema hídrico sostenible,CIVIL,9
gustar leer escribir,LETRAS,10
técnica moderno utilizar rehabilitar estructura antiguo perder valor histórico,CIVIL,9
apasionar gestión abc contabilidad costo softwarar contabilidad avanzado,CONTADURÍA,4
gustar liderar proyecto motivar,ADMINISTRACIÓN,7
analico novela clásico moderno descubrir matiz cultural social,LETRAS,10
interesar integración iot sistema manufactura obtener dato tiempo real,INDUSTRIAL,0
gustar programar proyecto web aplicación móvil,INFORMÁTICA,15
interesado economía ambiental cambio climático modelo valoración,ECONOMÍA,5
gustar trabajar ley proteger comunidad indígena,DERECHO,11
fascinado sociología tecnología innovación,SOCIOLOGÍA,1
interesado derecho medioambiental tecnológico querer innovar ámbito jurídico,DERECHO,11
cubro cuenta complicado sentir satisfecho,CONTADURÍA,4
gustar trabajar comunidad mejorar salud mental,PSICOLOGÍA,2
desarrollar propuesta obra público utilizar tecnología diseño innovador,CIVIL,9
gustar entender funcionar economía mundial,ECONOMÍA,5
gustar leer filósofo clásico contemporáneo,FILOSOFÍA,13
trabajo gestión crisis,COMUNICACIÓN SOCIAL,3
palabra escrito transformador,LETRAS,10
gustar explorar aplicación software,INFORMÁTICA,15
investigar material ecológico edificio reducir huella ambiental,ARQUITECTURA,6
estudio teoría estrategia fomentar creatividad aula,EDUCACIÓN,14
fascinar idea conectar mundo red invisible,TELECOMUNICACIONES,16
estudio teoría pedagógico estrategia didáctica fomentar creatividad colaboración pensamiento crítico entorno educativo dinámico,EDUCACIÓN,14
gustar trabajar entorno dinámico competitivo,ADMINISTRACIÓN,7
querer entender causa crisis financiero,ECONOMÍA,5
querer participar proyecto utilizar inteligencia artificial,INFORMÁTICA,15
manejo red social interesado producción audiovisual marketing,COMUNICACIÓN SOCIAL,3
encantar material sostenible diseño edificio,ARQUITECTURA,6
interesado norma fiscal contable querer especializar yo contabilidad internacional,CONTADURÍA,4
transmisión señal digital procesamiento información gustar estudiar,TELECOMUNICACIONES,16
filosofía esencial comprender mundo,FILOSOFÍA,13
gustar recuperación espacio urbano degradado,ARQUITECTURA,6
disfruto diálogo interreligioso ecumenismo trabajo estudio comparativo,TEOLOGÍA,8
analizo caso ingeniería estructural diseñar edificación alto rendimiento sismo,CIVIL,9
querer marcar diferencia sistema económico,ECONOMÍA,5
disfrutar teología feminista estudio género trabajo teoría crítico,TEOLOGÍA,8
apasionar idea crear edificio inspirar persona,ARQUITECTURA,6
investigar solución innovadora ingeniería civil enfrentar reto sísmico climático,CIVIL,9
interesar ética teológico,TEOLOGÍA,8
comprender sociedad importante progreso,SOCIOLOGÍA,1
gustar restaurar edificio histórico preservar tiempo valor cultural estético,ARQUITECTURA,6
gustar pensar pregunta profundo significado vida,FILOSOFÍA,13
interesar rehabilitación estructura antiguo integrar técnica moderno perder valor histórico,CIVIL,9
trabajar optimización cadena suministro análisis dato algoritmo avanzado,INDUSTRIAL,0
interesado evaluación educativo análisis dato análisis educativo,EDUCACIÓN,14
querer entender combatir injusticia social,SOCIOLOGÍA,1
interesado planificación gestión proyecto construcción escala,CIVIL,9
querer funcionar cadena suministro,INDUSTRIAL,0
apasionar contabilidad análisis financiero utilizar técnica avanzado herramienta digital garantizar transparencia gestión óptimo recurso,CONTADURÍA,4
apasionar desarrollo organizacional leo recurso humano psicología trabajo interesar diversidad inclusión querer implementar política laboral innovadora,RELACIONES INDUSTRIALES,12
emocionado aprender técnica masivo procesamiento dato crear solución inteligente,INFORMÁTICA,15
interesado estudio cerebro neurociencia,PSICOLOGÍA,2
digitalización transformar periodismo interacción remitente receptor,COMUNICACIÓN SOCIAL,3
gustar obtener consejo negocio,ADMINISTRACIÓN,7
proyecto contenido marca buscar conectar emocionalmente audiencia,COMUNICACIÓN SOCIAL,3
gustar crear contenido audiovisual editorial utilizar herramienta tecnológico comunicar mensaje ético crítico,COMUNICACIÓN SOCIAL,3
investigar material ecológico edificio,ARQUITECTURA,6
comportamiento colectivo tendencia social cosa disfrutar analizar,SOCIOLOGÍA,1
inspirar diseñar espacio respetar ambiente,ARQUITECTURA,6
arteterapia musicoterapia utilizar recuperación emocional,PSICOLOGÍA,2
gustar organizar taller entrenamiento,RELACIONES INDUSTRIALES,12
interesar funcionar empresa,ADMINISTRACIÓN,7
trabajo manuscrito antiguo apasionar filología,LETRAS,10
crear forma arquitectónico único original,ARQUITECTURA,6
interesado desarrollar sistema conectado,INFORMÁTICA,15
gustar encontrar manera mejorar sistema,INDUSTRIAL,0
preocupar equilibrio trabajo vida personal empresa,RELACIONES INDUSTRIALES,12
fascinado transmisión satélite antena softwarar diseño rf,TELECOMUNICACIONES,16
interesar edición digital edición electrónico,LETRAS,10
ayudar comprender él valioso,PSICOLOGÍA,2
interesado desarrollar programa educativo innovador,EDUCACIÓN,14
análisis cuantitativo utilizar pronosticar tendencia económico,ECONOMÍA,5
gustar escribir historia reflejar realidad,LETRAS,10
desarrollo aplicación utilizar lenguaje programación moderno,INFORMÁTICA,15
querer participar proyecto mejorar ciudad,CIVIL,9
intersección derecho ética promover responsabilidad social,DERECHO,11
investigar contradicción ética tradicional dilema contemporáneo,FILOSOFÍA,13
interesar estudiar religión espiritualidad teología,TEOLOGÍA,8
investigar forma evaluación formativo apoyar desarrollo estudiante,EDUCACIÓN,14
gustar construir cosa mano,CIVIL,9
comprender práctica religioso afectar bienestar comunidad,TEOLOGÍA,8
bocetar idea innovadora experimento realidad virtual diseño interesar arquitectura paramétrico generativo querer revolucionar diseño arquitectónico,ARQUITECTURA,6
querer especializar yo psicología clínico consejero,PSICOLOGÍA,2
estudiar convergencia tecnología comunicación aplicación mundo digital,TELECOMUNICACIONES,16
querer especializar yo derecho internacional ayudar caso humanitario,DERECHO,11
planificación proyecto arquitectónico realizar él tecnología interactivo,ARQUITECTURA,6
gustar aprender marco,INFORMÁTICA,15
trabajo startups apasionar,ADMINISTRACIÓN,7
comprometido aprendizaje técnica gestión maximicir recurso humano material,ADMINISTRACIÓN,7
filosofía esencial crecimiento personal social,FILOSOFÍA,13
utilizar técnica aprendizaje profundo mejorar reconocimiento patrón,INFORMÁTICA,15
trabajo indicador social sociología ambiental,SOCIOLOGÍA,1
querer contribuir debate tecnología sociedad analizar problema ético tecnología escribir ensayo filosofía contemporáneo,FILOSOFÍA,13
apasionar teología moral bioético análisis ético caso,TEOLOGÍA,8
gustar estudiar filosofía comparar,FILOSOFÍA,13
futuro educador investigo recurso digital implementación práctica innovadora facilitar aprendizaje significativo siglo xxi,EDUCACIÓN,14
utilizar modelo econométrico analizar tendencia crecimiento fluctuación mercado,ECONOMÍA,5
contradicción ética tradicional dilema contemporáneo,FILOSOFÍA,13
fascinar comercio electrónico gestiono tiendo online interesar marketing digital analytics querer revolucionar retail digital,ADMINISTRACIÓN,7
interesado planificación producción,INDUSTRIAL,0
desarrollo estudio influencia espiritualidad salud emocional equilibrio personal,TEOLOGÍA,8
integrar método educativo innovador tecnología aula apasionar,EDUCACIÓN,14
proyecto desarrollo evaluar efectividad terapia cognitiva conductual,PSICOLOGÍA,2
interesar gestión talento análisis persona,RELACIONES INDUSTRIALES,12
interesado desarrollo videojuego,INFORMÁTICA,15
gustar asegurarme orden libre error,CONTADURÍA,4
apasionar tecnología desarrollo web blog experimento htmlcss interesar ciberseguridad hacking ético querer crear solución tecnológico innovadora,INFORMÁTICA,15
reflexión integración tecnología bim digital optimizar diseño infraestructura,CIVIL,9
gustar economía conductual experimental,ECONOMÍA,5
fascinado mundo ciberseguridad análisis dato buscar tecnología desarrollar software robusto escalable,INFORMÁTICA,15
gustar estudiar gráfico dato,ECONOMÍA,5
gustar analizar estructura estilo texto,LETRAS,10
ratio modelo análisis financiero,ADMINISTRACIÓN,7
gustar idea convertir estructura real,CIVIL,9
disfrutar mediar conflicto buscar solución,RELACIONES INDUSTRIALES,12
gustar trabajar estudio comparativo,TEOLOGÍA,8
apasionar neuroeducación aprendizaje basado cerebro técnico innovadora,EDUCACIÓN,14
interesar enviar información mundo,TELECOMUNICACIONES,16
apasionar traducción literario adaptación cultural cat tools,LETRAS,10
encantar crear poesía historia explorar complejidad experiencia humano combinar rigor lingüístico sensibilidad literario,LETRAS,10
querer analizar mercado financiero comercio algorítmico trabajo análisis cuantitativo,ECONOMÍA,5
apasionar estudiar cultura trabajo grupo vulnerable interesar sociología urbano digital querer investigar fenómeno social contemporáneo,SOCIOLOGÍA,1
apasionar liturgia arte sacro trabajo historia arte,TEOLOGÍA,8
encantar crear apps resolver problema cotidiano organizo hackathons escuela interesar blockchain criptomoneda querer desarrollar tecnología descentralizada,INFORMÁTICA,15
interesado estudiar escritura aplicación,TEOLOGÍA,8
gustar trabajar derecho mercantil,DERECHO,11
querer innovar método pedagógico inspirar,EDUCACIÓN,14
participo concurso diseño arquitectónico proponer solución innovadora planificación urbano,ARQUITECTURA,6
interesado innovación espíritu empresarial querer consultor negocio,ADMINISTRACIÓN,7
sentir satisfecho lograr cuadrar cuenta complicado,CONTADURÍA,4
investigar restauración edificio histórico,ARQUITECTURA,6
reflexión integración tecnología digital,CIVIL,9
apasionar derecho tecnológico regulación estudio ia privacidad interesar propiedad intelectual digital querer especializar yo derecho digital,DERECHO,11
gustar investigar misticismo espiritualidad contemporáneo,TEOLOGÍA,8
querer entender gente actuar,PSICOLOGÍA,2
gustar trabajar equipo lograr meta común,INDUSTRIAL,0
comprender mente importante futuro,PSICOLOGÍA,2
sentir conectado fe querer estudiar él fondo,TEOLOGÍA,8
estar involucrar investigación evaluó efectividad terapia cognitivoconductual,PSICOLOGÍA,2
querer entender fe influir cultura,TEOLOGÍA,8
investigar teoría económico alternativo promover equidad desarrollo inclusivo,ECONOMÍA,5
gustar investigar migración efecto,SOCIOLOGÍA,1
querer ayudar pequeño empresa,CONTADURÍA,4
herramienta analítica tiempo real mejorar gestión red comunicación,TELECOMUNICACIONES,16
gustar entender significado existencia,FILOSOFÍA,13
gustar resolver problema hidráulico participo proyecto comunitario agua potable interesado tratamiento agua ambiente querer diseñar sistema agua sostenible,CIVIL,9
participo concurso diseño arquitectónico proponer solución innovadora urbanismo,ARQUITECTURA,6
sueño abogar marcar diferencia comunidad,DERECHO,11
intrigar señal transmitir medio,TELECOMUNICACIONES,16
investigar método evaluación formativo apoyar desarrollo integral estudiante,EDUCACIÓN,14
apasionar estudio texto sagrado trabajo proyecto comunitario religioso interesar teología contemporáneo bioética querer investigar relación fe ciencia,TEOLOGÍA,8
gustar utilizar metodología lean bim,ARQUITECTURA,6
estudiar factor histórico económico cultural afectar sociedad,SOCIOLOGÍA,1
leer círculo analizar texto,FILOSOFÍA,13
gustar analizar dato tendencia social,SOCIOLOGÍA,1
interesado economía colaborativo,ECONOMÍA,5
disfrutar analizar dato cálculo preciso,CONTADURÍA,4
gustar aprender ingeniería hidráulico importancia,CIVIL,9
explorar fusión arte tecnología crear espacio inspirar sirvan comunidad,ARQUITECTURA,6
querer mejorar vida ciudad estudiar sociología urbano movilidad espacio público,SOCIOLOGÍA,1
fascinado diversidad inclusión laboral programa equidad,RELACIONES INDUSTRIALES,12
solución práctico problema cotidiano querer encontrar,INDUSTRIAL,0
interesar decisión financiero afectar empresa,CONTADURÍA,4
disfruto desarrollo web fullstack,INFORMÁTICA,15
historia fe cultura moldear símbolo ritual,TEOLOGÍA,8
gustar investigar movimiento social activismo,SOCIOLOGÍA,1
disfruto asegurándome estar orden error,CONTADURÍA,4
modelo económico integrar variable macroeconómico pronosticar ciclo económico,ECONOMÍA,5
interesar comunicación político discurso influir sociedad actual,COMUNICACIÓN SOCIAL,3
medio comunicación fuerza,COMUNICACIÓN SOCIAL,3
técnico promover bienestar emocional,PSICOLOGÍA,2
gustar desarrollar método enseñanza innovador,EDUCACIÓN,14
querer investigar literatura indígén ancestral,LETRAS,10
querer desarrollar aplicación móvil innovadora trabajar flutter react native,INFORMÁTICA,15
proponer reforma legal mejorar acceso justicia investigar caso justicia social,DERECHO,11
gustar entender sistema jurídico abordar problema,DERECHO,11
fascinado gestión talento análisis persona análisis recurso humano kpi,RELACIONES INDUSTRIALES,12
desarrollo estrategia incrementar seguridad transporte dato red global,TELECOMUNICACIONES,16
eficiencia institucional mejorar él desarrollo competencia gestión proyecto análisis financiero,ADMINISTRACIÓN,7
gustar crear red negocio,TELECOMUNICACIONES,16
explorar implementación robot colaborativo líneas montaje,INDUSTRIAL,0
interesar marketing influir decisión persona,ADMINISTRACIÓN,7
gustar aprender tecnología,INFORMÁTICA,15
gustar ayudar caso humanitario,DERECHO,11
investigar tecnología revolucionar periodismo divulgación noticia,COMUNICACIÓN SOCIAL,3
interesar profundamente teoría económico aplicado utilizar modelo matemático análisis estadístico comprender funcionamiento mercado,ECONOMÍA,5
proceso aprendizaje moldear comportamiento tiempo interesar,PSICOLOGÍA,2
contabilidad esencial éxito organización,CONTADURÍA,4
apasionar estudiar percepción memorización función experiencia individual colectivo,PSICOLOGÍA,2
disfrutar crear contenido educa entretener,COMUNICACIÓN SOCIAL,3
escritura forma favorita expresión,LETRAS,10
involucrado diseño infraestructura inteligente,TELECOMUNICACIONES,16
querer trabajar desarrollo red seguro rápido,TELECOMUNICACIONES,16
curiosidad transmitir señal,TELECOMUNICACIONES,16
interesar proteger edificio,CIVIL,9
querer proteger ambiente trabajar caso justicia climático,DERECHO,11
estudiante alfabetización disfruto experimentar género literario técnico narrativo crear ensayo poesía historia reflejen compromiso cultura,LETRAS,10
querer conexión seguro,TELECOMUNICACIONES,16
disfruto planificar organizar tarea complejo,INDUSTRIAL,0
interesar pensamiento filosófico evolucionar,FILOSOFÍA,13
informar mantener sociedad acontecimiento,COMUNICACIÓN SOCIAL,3
estudiar creencia práctica religioso adaptar desafío mundial,TEOLOGÍA,8
gustar trabajar equipo organizar evento querer desarrollar cultura organizacional positivo,RELACIONES INDUSTRIALES,12
gustar especializar yo distribución eficiente,INDUSTRIAL,0
apasionar planificación gestión proyecto,INDUSTRIAL,0
exploro medio digital influir opinión público investigar campaña comunicación impulsar cambio social,COMUNICACIÓN SOCIAL,3
gustar analizar descubrir interpretación texto,LETRAS,10
sociología educación desigualdad interesar,SOCIOLOGÍA,1
investigar material reciclado,CIVIL,9
desarrollo estudio resiliencia estrategia superar estrés contexto difícil,PSICOLOGÍA,2
interesado creación solución problema infraestructura,CIVIL,9
disfrutar diseñar sistema agua potable alcantarillado interesar hidráulica,CIVIL,9
querer mejorar gestión operación comercial,INDUSTRIAL,0
interesar evolucionar pensamiento filosófico,FILOSOFÍA,13
apasionar transformación organizacional estudio forma trabajo interesar futuro trabajo automatización querer preparar organización futuro,RELACIONES INDUSTRIALES,12
apasionar analizar caso éxito empresarial extraer lección aplicable transformación digital,ADMINISTRACIÓN,7
gustar informar persona noticia,COMUNICACIÓN SOCIAL,3
interesar investigar migración efecto,SOCIOLOGÍA,1
apasionar contenido marca narrativa transmedio trabajo storytelling,COMUNICACIÓN SOCIAL,3
interesar comunicación satelital aplicación,TELECOMUNICACIONES,16
gustar trabajar teoría literario,LETRAS,10
disfruto implementar sistema voip comunicación unificado trabajar asterisk,TELECOMUNICACIONES,16
letra esencial preservar historia,LETRAS,10
transparencia importante finanza,CONTADURÍA,4
interesado arquitectura sostenible diseño bioclimático querer crear edificio mejorar vida persona,ARQUITECTURA,6
aplicación política recurso humano impulsar productividad satisfacción laboral interesar,RELACIONES INDUSTRIALES,12
trabajo tratado fiscal,CONTADURÍA,4
gustar diseñar espacio integrar naturaleza tecnologir domótico edificio inteligente,ARQUITECTURA,6
apasionar cine producción audiovisual,COMUNICACIÓN SOCIAL,3
interesar educación bilingüe multicultural,EDUCACIÓN,14
enseño educación financiero,CONTADURÍA,4
interesar implementación sistema leer manufacturing,INDUSTRIAL,0
interesar infraestructura afectar sociedad,CIVIL,9
apasionar estudio derecho constitucional protección derecho fundamental,DERECHO,11
apasionar medio comunicación influir sociedad,COMUNICACIÓN SOCIAL,3
disfruto realizar encuesta analizar resultado,SOCIOLOGÍA,1
querer participar desarrollo tecnología,INFORMÁTICA,15
inspirar posibilidad transformar espacio urbano innovación ingeniería combinar creatividad rigor técnico solución ecológico,CIVIL,9
participé investigación resiliencia intervención terapéutico mejorar salud mental,PSICOLOGÍA,2
querer especializar yo logística distribución eficiente,INDUSTRIAL,0
investigación efecto reforma jurídico protección derecho minoría,DERECHO,11
participo proyecto mediático promover transparencia ética comunicación,COMUNICACIÓN SOCIAL,3
gustar resolver problema práctico solución creativo,CIVIL,9
interesar funcionar cadena producción,INDUSTRIAL,0
diseño computacional fabricación digital especialidad,ARQUITECTURA,6
encantar resolver problema programación,INFORMÁTICA,15
disfrutar organizar taller entrenamiento,RELACIONES INDUSTRIALES,12
interesado desarrollar método enseñanza innovador,EDUCACIÓN,14
estudiar dinámica social impacto tecnología cohesión comunitario utilizar método mixto interpretar cambio cultura,SOCIOLOGÍA,1
gustar investigación académico literario,LETRAS,10
gustar analizar política económico afectar,ECONOMÍA,5
gustar establecer red servidor participar comunidad red,TELECOMUNICACIONES,16
gustar trabajar número dato financiero,CONTADURÍA,4
sentir educar forma dejar legado,EDUCACIÓN,14
arquitectura cambiar comunidad,ARQUITECTURA,6
apasionar estudio derecho comparado evaluar sistema legal internacional desarrollar solución jurídico inclusiva equitativo,DERECHO,11
educar dejar legado,EDUCACIÓN,14
planificación control obra disfruto,CIVIL,9
mejorar proceso,INDUSTRIAL,0
disfruto estudiar sistema filosófico organizo círculo lectura filosófico interesar filosofía ciencia epistemología querer investigar fundamento conocimiento,FILOSOFÍA,13
entender sociedad esencial progreso,SOCIOLOGÍA,1
gustar estudiar motivación liderazgo,RELACIONES INDUSTRIALES,12
impulsar mejora entender sociedad,SOCIOLOGÍA,1
interesado arquitectura paisajístico urbanismo,ARQUITECTURA,6
apasionar analizar optimizar proceso industrial utilizar técnica lean manufacturing simulación digital análisis dato,INDUSTRIAL,0
desarrollo competencia auditoría control interno prevenir error detectar ineficiencia registro contable,CONTADURÍA,4
transmisión señal digital procesamiento información interesar estudiar,TELECOMUNICACIONES,16
disfruto planificación control obra,CIVIL,9
querer dedicarme investigación social académico,SOCIOLOGÍA,1
gustar leer escribir poesía organizar club lectura interesado literatura comparativo crítica literario,LETRAS,10
estudio diverso corriente religioso participo diálogo interreligioso investigar espiritualidad promover paz justicia social,TEOLOGÍA,8
amigo acudir pedir consejo,PSICOLOGÍA,2
estudiar influencia espiritualidad bienestar personal comunitario reflexionar texto sagrado teoría moderno enriquecer perspectiva religioso,TEOLOGÍA,8
terapia grupal utilizar mejorar comunicación resolver conflicto,PSICOLOGÍA,2
querer desarrollar sistema cumplimiento impuesto utilizar software fiscal,CONTADURÍA,4
querer participar creación política económico promover bienestar social,ECONOMÍA,5
estudiar optimización producción análisis tiempo movimiento planta,INDUSTRIAL,0
interesar neurociencia cognitivo,PSICOLOGÍA,2
disfrutar analizar modelo económico alternativo,ECONOMÍA,5
gustar crear aplicación resolver problema organizar hackathons escuela,INFORMÁTICA,15
trabajo diseño análisis proceso busca optimización integral producción,INDUSTRIAL,0
disfrutar analizar ética aplicado bioético trabajo dilemas moral contemporáneo,FILOSOFÍA,13
querer implementar tecnología optimicir producción,INDUSTRIAL,0
conectar mundo importante progreso,TELECOMUNICACIONES,16
enseño educación financiero,CONTADURÍA,4
gustar analizar evolución lenguaje literatura cultura,LETRAS,10
fan traducción literario adaptación cultural,LETRAS,10
estudiar interacción desigualdad comunidad analizar factor histórico económico cultural conformar sociedad,SOCIOLOGÍA,1
interesar discutir idea concepto abstracto,FILOSOFÍA,13
i investigación estrategia enseñanza fomentar participación activo pensamiento crítico estudiante,EDUCACIÓN,14
interesar analizar mercado capital diseñar estrategia inversión sostenible,ECONOMÍA,5
interesado aprender sistema legal,DERECHO,11
estudiante sociología investigar impacto tecnología identidad colectivo,SOCIOLOGÍA,1
gustar estudiar filosofía comparado trabajo texto antiguo,FILOSOFÍA,13
desarrollo solución innovadora automatizar proceso industrial utilizar tecnología emergente,INDUSTRIAL,0
interesar analizar texto descubrir significado oculto,LETRAS,10
contradicción ética tradicional contemporánea,FILOSOFÍA,13
apasionar sociología digital análisis red social análisis dato,SOCIOLOGÍA,1
gustar analizar financiero aplicar política contable optimizar gestión recurso organización análisis avanzado,CONTADURÍA,4
estudio lenguaje reflejar cultura,LETRAS,10
medio comunicación fuerza,COMUNICACIÓN SOCIAL,3
medio comunicación fuerza,COMUNICACIÓN SOCIAL,3
apasionar economía digital estudio criptomoneda fintech interesar economía colaborativo circular querer innovar modelo económico,ECONOMÍA,5
gustar diseñar solución conectar comunicación satélite terrestre zona difícil acceso,TELECOMUNICACIONES,16
investigo método construcción modular acelerar proceso abaratar costo edificación,ARQUITECTURA,6
explorar digitalización transformar periodismo interacción remitente receptor,COMUNICACIÓN SOCIAL,3
interesado cerebro afectar comportamiento,PSICOLOGÍA,2
gustar trabajar herramienta financiero software,CONTADURÍA,4
competencia auditoría control interno desarrollar prevenir error,CONTADURÍA,4
gustar optimizar tiempo actividad diario,INDUSTRIAL,0
estudiar integración marketing digital administración mejorar competitividad empresa,ADMINISTRACIÓN,7
querer trabajar documental mostrar realidad oculto,COMUNICACIÓN SOCIAL,3
investigar papel medio comunicación formación opinión público contexto democrático,COMUNICACIÓN SOCIAL,3
fascinar neuropsicología estudio cerebro,PSICOLOGÍA,2
creer justicia,DERECHO,11
apasionar estudio derecho justicia examinar norma defender derecho fundamental sociedad,DERECHO,11
gustar coordinar proyecto ver él llegar término,ADMINISTRACIÓN,7
interesado justicia derechos humanos gustar analizar caso defender causa importante,DERECHO,11
